depth	dens	GR	Vp	Vs
1146	2.4252	80.4892	3999.0481	2253.1902
1146.25	2.4283	75.4143	4117.0493	2310.6973
1146.5	2.4704	74.3627	4255.1943	2393.5205
1146.75	2.527	74.5894	4576.2178	2549.9453
1147	2.5234	81.0581	4760.5332	2658.4136
1147.25	2.5252	99.2069	4870.9365	2763.3428
1147.5	2.5704	111.6795	4891.0034	2809.8813
1147.75	2.5971	110.6793	4899.3032	2836.6594
1148	2.5551	101.7217	4914.0483	2852.823
1148.25	2.5208	99.637	4856.3711	2838.7581
1148.5	2.507	102.9497	4754.0933	2760.3652
1148.75	2.507	102.978	4542.9717	2694.6072
1149	2.5122	102.732	4387.731	2602.8262
1149.25	2.5461	95.2676	4311.77	2449.9451
1149.5	2.5431	91.2962	4262.9053	2385.623
1149.75	2.5256	95.8112	4265.8081	2382.6938
1150	2.5316	94.5441	4359.6079	2396.9329
1150.25	2.5468	95.1287	4668.9585	2566.6458
1150.5	2.5596	101.777	4770.8193	2761.5259
1150.75	2.5743	105.6124	4860.0239	2804.0994
1151	2.5828	108.5271	4882.5391	2826.928
1151.25	2.563	108.1328	4882.127	2838.6401
1151.5	2.5642	105.2398	4868.0596	2854.2317
1151.75	2.5658	103.5469	4832.0767	2843.8635
1152	2.5319	105.1866	4782.3848	2850.6499
1152.25	2.5113	105.8257	4713.2202	2844.1746
1152.5	2.5289	107.6754	4659.0112	2831.3635
1152.75	2.531	109.5387	4585.5396	2795.1892
1153	2.5036	105.0137	4556.0156	2733.5757
1153.25	2.4803	98.3668	4558.0444	2734.5601
1153.5	2.4705	90.2224	4602.3008	2730.5398
1153.75	2.479	91.0429	4674.7607	2742.9363
1154	2.5059	98.4582	4735.8071	2750.6995
1154.25	2.5268	102.0413	4779.4429	2801.5239
1154.5	2.5381	99.754	4799.877	2830.7544
1154.75	2.5307	103.0888	4819.7627	2877.9966
1155	2.5094	112.3354	4846.4775	2890.0098
1155.25	2.5279	110.6337	4850.3652	2909.3027
1155.5	2.5359	107.0134	4884.2314	2881.4756
1155.75	2.5501	113.4703	4941.3135	2904.2598
1156	2.5742	113.9345	4957.6309	2909.3235
1156.25	2.5791	108.8763	4932.6465	2870.2122
1156.5	2.5578	105.6387	4850.042	2870.9666
1156.75	2.5584	107.2312	4734.5713	2870.626
1157	2.5339	107.3117	4575.4546	2875.2061
1157.25	2.5233	107.0075	4470.834	2838.0286
1157.5	2.5193	105.2002	4457.894	2795.1487
1157.75	2.4956	107.937	4492.7686	2753.4976
1158	2.4712	106.6283	4561.7598	2744.7585
1158.25	2.4518	97.3665	4599.2734	2755.2979
1158.5	2.4977	97.176	4642.1045	2772.1265
1158.75	2.5406	102.8998	4671.1577	2771.3442
1159	2.5344	105.944	4656.6304	2738.0852
1159.25	2.515	102.9983	4602.7983	2739.3574
1159.5	2.5241	102.6842	4593.9629	2726.8337
1159.75	2.5548	105.2704	4592.3389	2722.4351
1160	2.5531	108.3249	4562.6865	2712.968
