depth	caliper	pef	rhob	dho	gr	npls	rshal	rdeep	rmic	vs	vp
1129.893555	21.62709999	7.328317165	1.99000001	-0.041197456	53.74229813	0.524392068	1.181300044	1.825799942	0.171000004	360.5964966	145.949997
1130.046021	21.62709999	7.031880379	1.99000001	-0.037704743	52.71820068	0.501882017	1.166467786	1.780132175	0.161696717	368.3520203	144.0994721
1130.198364	21.62709999	6.88513422	1.99000001	-0.035804447	50.44480133	0.470402211	1.126299977	1.695500016	0.157600001	373.9226074	142.8996735
1130.35083	21.62709999	6.845788002	1.99000001	-0.033587713	53.30789948	0.464958012	1.111206293	1.708839536	0.156800717	374.6619873	138.6986237
1130.503174	21.63739967	7.292623043	1.99000001	-0.022008989	55.78350067	0.499787092	1.119099975	1.758299947	0.157700002	358.2498474	135.9997406
1130.65564	21.63599968	7.435418606	1.99000001	-0.01370069	57.18040085	0.538477004	1.143323779	1.823641419	0.2253948	349.9247437	134.1496735
1130.807983	21.64570046	7.506792545	1.99000001	-0.016352711	55.89889908	0.585243523	1.172899962	1.875200033	0.218899995	342.4521484	133.6005096
1130.960449	21.65810013	7.610265732	1.99000001	-0.017279418	53.58539963	0.563094974	1.159685254	1.896374703	0.206798151	332.6969605	136.0997467
1131.112793	21.65810013	7.813300133	1.99000001	-0.018573999	47.69670105	0.562062979	1.141199946	1.864799976	0.204500005	332.1740418	135.7006683
1131.265259	21.65810013	8.061471939	1.99000001	-0.029565178	48.14720154	0.514733017	1.108352304	1.815124273	0.177287191	334.4213867	138.2526093
1131.417603	21.63330078	7.989099979	1.99000001	-0.032619998	48.51670075	0.58495301	1.048799992	1.720700026	0.161300004	342.335907	141.9994507
1131.570068	21.6271019	7.708329678	1.99000001	-0.031524811	53.24779892	0.596657991	1.009780645	1.638272286	0.157898486	344.8978272	140.2970429
1131.722412	21.62919998	7.552292824	1.99000001	-0.03333291	56.00109863	0.650250971	0.985700011	1.603700042	0.156000003	343.1975403	136.3991547
1131.874756	21.65810013	7.463125706	1.99000001	-0.032191332	54.40169907	0.607765019	1.010400057	1.621799946	0.155200005	341.1617127	134.25
1132.027222	21.64369965	7.293266773	1.99000001	-0.030886078	55.71480179	0.549305975	1.096362114	1.696670771	0.157002404	340.3363953	134.0005493
1132.179565	21.63599968	7.05845356	1.99000001	-0.031430878	52.72240067	0.555210292	1.173900008	1.784999967	0.159999996	322.4618225	135.2005768
1132.332031	21.62709999	6.539073944	1.99000001	-0.028477125	54.1935997	0.578352988	1.194496274	1.803081513	0.166205674	324.3122864	142.2001038
1132.484375	21.62709999	6.900341034	1.99000001	-0.0242067	52.04299927	0.618061185	1.189900041	1.779999971	0.173299998	328.4544067	142.3997345
1132.636841	21.62709999	7.508958817	1.99000001	-0.027713679	52.58200073	0.561263979	1.13224256	1.681509256	0.169596791	329.2041626	140.608017
1132.789185	21.62709999	8.102040291	1.99000001	-0.030253742	53.05860138	0.543398321	1.060600042	1.568300009	0.165600002	333.3806152	154.4510193
1132.94165	21.62709999	8.258666039	1.99000001	-0.036337003	53.87789917	0.539385974	1.006455898	1.470534086	0.158695921	345.7976379	159.4006958
1133.093994	21.62709999	7.854800224	1.99000001	-0.039377	55.56230164	0.584514022	0.951399982	1.388299942	0.153600007	416.0439758	160.4981079
1133.24646	21.62709808	7.220131874	1.99000001	-0.040955991	55.06560135	0.606848002	0.936523736	1.366731167	0.153400809	407.6797485	153.5442658
1133.398804	21.62490082	5.523300171	1.99000001	-0.038389001	53.94100189	0.624858975	0.966099978	1.405599952	0.154400006	394.9758911	145.3992462
1133.55127	20.48113823	4.539147854	1.99000001	-0.034228984	52.33250046	0.645705998	1.085922599	1.575259924	0.169169784	378.6581116	143.1489563
1133.703613	18.78240013	3.986396551	1.99000001	-0.018858926	51.19929886	0.577307999	1.23875773	1.774875879	0.755220354	370.5648804	141.8014679
1133.855957	18.16830063	3.948010683	1.99000001	-0.006527478	49.81370163	0.569839954	1.310799956	1.869699955	1.030200005	378.8967285	145.5
1134.008423	17.5007	3.957492352	1.981001258	-0.006651283	47.32139969	0.520485997	1.393980384	1.928054571	1.293707013	346.9111939	143.697464
1134.160767	17.1765995	3.906511307	1.989997983	-0.008539585	46.07970047	0.508247852	1.369500041	1.871299982	1.052899957	337.2669678	138.1998749
1134.313232	17.16419983	3.772405624	1.99800086	-0.008390586	49.06790161	0.485426992	1.376799822	1.88228631	1.283224106	331.5797119	136.8995209
1134.465576	16.67029953	3.798795939	2.001999378	-0.01114357	54.2154007	0.514603615	1.376600027	1.865200043	1.313300014	346.1582947	135.9999237
1134.618042	16.08609963	3.899550438	2.007994413	-0.011353151	54.79729843	0.542460024	1.382400632	1.852295876	1.427939057	326.1989746	135.500412
1134.770386	16.19720078	4.082582951	1.988001943	-0.008271289	51.78499985	0.575673401	1.383100033	1.84710002	1.726199985	341.9457703	136.2002106
1134.922852	16.22550011	4.149254322	1.979994655	-0.005102354	50.11719894	0.51146698	1.371603608	1.823997736	1.51313448	349.2928467	137.1994171
1135.075195	16.25510025	4.309400082	1.963999987	-0.003193	49.62329865	0.512498021	1.376099944	1.821099997	1.556200028	349.3684082	136.3009186
1135.227661	16.52788925	4.580010414	1.966985941	0.000723387	51.81679916	0.537105024	1.359478831	1.797154427	1.489827395	350.5032044	139.6004334
1135.380005	16.63949966	4.856100082	1.932000041	0.006672	50.25930023	0.528623998	1.332999945	1.740300059	1.024700046	358.0155945	140.2003021
1135.532471	16.98813438	5.053984165	1.892994881	0.012426418	54.00019836	0.522212982	1.320503235	1.722804785	1.01201272	357.6898193	141.0965271
1135.684815	16.53100014	4.804261208	1.88200295	0.013327675	54.88240051	0.463142008	1.32453382	1.728735209	0.778704643	349.5299377	136.5986786
1135.837158	16.26539993	4.397311688	1.913991213	0.020444047	55.19599915	0.516932905	1.366799951	1.772600055	1.034100056	339.3865051	133.3000031
1135.989624	16.42480087	4.15956974	1.978001595	0.029534381	53.89039993	0.523379028	1.352844	1.742041946	1.036218524	334.1883545	134.6010132
1136.141968	16.54019928	3.970540047	1.98799789	0.019268172	50.24119949	0.525762081	1.407699943	1.794399977	1.558599949	337.1600037	136.7485352
1136.294434	16.19899941	3.999447107	1.979001045	0.00658831	52.36240006	0.495281994	1.538917899	1.972929001	1.381583452	311.7817688	121.7955551
1136.446777	15.84389973	3.759835482	1.983999252	0.003458465	54.60469818	0.492125541	1.561300039	2.00909996	0.612200022	316.9518738	113.3998871
1136.599243	13.57789898	3.707755566	1.990006805	-0.001404979	58.12580109	0.519051015	1.56633091	2.022334337	0.698161483	338.0899048	112.6980362
1136.751587	13.36859989	3.551513434	2.013997793	-0.004860703	59.8504982	0.502043009	1.604900003	2.065299988	0.899699986	335.5797119	109.4011841
1136.904053	13.3586998	3.67982173	2.024006128	-0.011404957	58.48469925	0.473847002	1.632573843	2.107419968	1.211356759	346.1549988	114.7068024
1137.056397	13.19299984	3.742500067	2.042000055	-0.014168	59.28620148	0.45697701	1.475200057	1.882799983	1.157400012	334.6436768	125.102623
1137.208862	13.16388893	4.004836083	2.018989801	-0.012442226	57.56150055	0.505105972	1.449625611	1.859327674	1.439269424	345.7046814	134.3000031
1137.361206	13.14960003	4.093400002	1.993999958	-0.012994001	54.01089859	0.546402991	1.481600046	1.89380002	1.276299954	346.5314636	134.2993469
1137.513672	12.98886395	4.010048389	1.974009395	-0.011236291	50.27870178	0.552028	1.491129637	1.917435288	0.580085754	346.2620544	132.3995972
1137.666016	12.8190012	3.688389063	1.994002819	-0.009733651	50.17050171	0.505536974	1.528223991	1.961429119	1.310977101	339.8055725	131.9018402
1137.818359	12.73880005	3.580828667	2.021992683	-0.006326909	51.94749832	0.456515282	1.558200002	1.997799993	1.906399965	334.9367065	136.3999939
1137.970825	12.9368	3.572795391	2.038999796	-0.013447545	54.75	0.464029014	1.572388768	2.008189201	1.792859912	327.0055542	130.7974243
1138.123169	13.19489956	3.544805765	2.038000345	-0.016739329	52.73709869	0.47296086	1.558400035	1.994899988	1.243600011	327.3218384	125.3500977
1138.275635	13.12269974	3.57740736	2.033997059	-0.017739173	51.95040131	0.523166001	1.509075642	1.949559212	0.761616767	331.1727905	126.2998657
1138.427979	13.34099865	3.609895468	2.021001816	-0.014114511	50.84600067	0.524760723	1.478800058	1.898699999	0.657800019	331.1572571	126.0495148
1138.580444	13.69509983	3.705057144	2.002994299	-0.014896064	51.92250061	0.54055202	1.475767255	1.889765024	1.20868516	340.021698	123.1545258
1138.732788	13.77269936	3.901284695	1.98300159	-0.008245519	54.07429886	0.556890011	1.434900045	1.846199989	1.939000011	350.0710754	130.7004852
1138.885254	14.0152998	4.234594345	1.922980547	-0.001786357	53.49470139	0.534772992	1.371273756	1.773867965	1.420537353	346.624115	132.8041687
1139.037598	14.55189991	4.501900196	1.868000031	0.000031	55.06750107	0.537599027	1.33860004	1.733800054	0.967999995	355.6346741	139.0991821
1139.190064	15.49179554	4.262938023	1.836023688	-0.005182628	51.12350082	0.473426014	1.351288676	1.752779722	0.525969088	353.3250427	136.3025818
1139.342407	14.23849964	3.874200106	1.893000007	-0.006689	52.88100052	0.521004021	1.337200046	1.727499962	0.861800015	350.4250183	139.8494873
1139.494873	14.2021389	3.925663471	1.970032096	-0.011455497	49.14899826	0.480854988	1.36448884	1.761581779	1.496008158	353.1111755	138.3957062
1139.647217	14.25080013	3.849491835	2.037000179	-0.018748859	55.1271019	0.507233024	1.350495458	1.7388798	1.63079977	337.2550354	132.9495239
1139.799561	14.41689968	3.776118994	2.039999247	-0.026560977	56.5699997	0.481265813	1.344900012	1.713799954	1.630499959	334.1156006	131.8000031
1139.952026	14.31900024	3.64289403	2.044999838	-0.026564527	59.58399963	0.501474023	1.333801746	1.711505294	1.523270369	332.3615418	130.0007935
1140.10437	14.23980045	3.608006954	2.044000149	-0.023826536	54.88610077	0.491342098	1.336099982	1.718099952	1.486299992	344.4944763	131.6504059
1140.256836	14.24050045	3.741579533	2.041998148	-0.011948504	55.97460175	0.486948997	1.309080362	1.670096636	1.472965479	354.7815857	135.4000549
1140.40918	14.31949997	3.65451169	2.034000874	-0.005605846	57.44580078	0.511763096	1.28460002	1.665899992	1.554700017	351.5234375	135.5001526
1140.561646	14.2198	4.054838181	2.009992123	-0.007826037	59.87030029	0.493687987	1.28484869	1.646928191	1.307071567	380.844696	136.4029694
1140.713989	14.24419975	4.183091164	1.984001756	-0.004603228	59.16600037	0.480439991	1.220900059	1.557299972	1.396399975	372.452179	141.2993927
1140.866455	14.3355999	4.145859242	1.967998266	-0.003901521	55.18199921	0.486236006	1.219592094	1.560097575	1.432578564	384.1245117	138.6995239
1141.018799	13.89890003	3.756900072	1.963000059	-0.01364	54.3125	0.516906023	1.209800005	1.557100058	0.657000005	386.4366455	137.9999695
1141.171265	13.94503021	3.55701232	2.003010511	-0.007836497	52.36610031	0.529100001	1.213612557	1.562617183	1.221890569	373.2374878	137.9000702
1141.323608	13.85680008	3.585999966	2.028000116	-0.004296	55.32479858	0.494603008	1.229200006	1.583999991	1.085299969	369.7522583	137.9996338
1141.476074	13.83571816	3.598249674	2.015994787	-0.006254899	53.66559982	0.488467008	1.237717152	1.606601	1.07671833	354.9247131	137.0005493
1141.628418	13.9829998	3.700011253	2.004999399	0.002161692	54.73690033	0.467527986	1.259115934	1.607833743	1.099664688	360.7159424	137.699997
1141.780762	14.46560001	3.79577589	1.998001814	0.008027526	52.5984993	0.472409099	1.279000044	1.649999976	1.180400014	348.3103027	137.699997
1141.933228	14.62689972	3.797169924	1.990004182	-0.00137766	55.53919983	0.485882998	1.276200414	1.649609566	1.122274041	373.4111023	137.1999207
1142.085571	14.22609997	3.631431341	2.01299572	0.000503646	54.4864006	0.538510859	1.27670002	1.661499977	1.089900017	361.0970154	137.0499268
1142.238037	14.33720017	3.549509525	2.034003019	-0.001339468	55.0870018	0.576242983	1.337242603	1.717047811	1.381644011	356.8014832	136.3485413
1142.390381	14.24460125	3.588495016	2.046998262	-0.007364243	53.47850037	0.567596912	1.390400052	1.77670002	1.81099999	349.4709168	133.700058
1142.542847	14.21539879	3.66242218	2.040998459	-0.010243424	54.65940094	0.522583008	1.432196379	1.823326707	1.881419659	349.8721619	133.9997559
1142.69519	13.93060017	3.734499931	2.036000013	-0.005099	54.29779816	0.526404977	1.427700043	1.856600046	1.781200051	339.4480286	133.5999298
1142.847656	13.8501997	3.866886377	2.038001299	-0.004120757	54.3871994	0.555347979	1.476317287	1.90951395	1.779949904	342.6564026	133.2993927
1143	13.94919968	3.829900026	2.040999889	0.00737	52.93050003	0.598070979	1.497900009	1.926900029	1.592599988	336.151825	132.4000855
1143.152466	14.09804153	3.933581829	2.040002585	0.013538646	52.01050186	0.560750008	1.532215118	1.936733484	1.36737144	333.5887756	132.699707
1143.30481	14.02560043	3.891799927	2.046000004	0.01966	50.72460175	0.55615902	1.551100016	1.978600025	1.706099987	327.3482971	132.3001862
1143.457153	14.01399994	3.940885067	2.051998138	0.015655227	47.93579865	0.504270613	1.574100018	2.007499933	2.049000025	337.5291138	132.8000031
1143.609619	14.16409969	3.84918642	2.067999363	0.013732476	48.5143013	0.504620016	1.570024967	2.018509865	1.31879127	330.8638001	130.3000488
1143.761963	13.73949909	3.741326332	2.062001467	0.001607954	48.24369812	0.472519726	1.601099968	2.030800104	1.557399988	322.6889954	130.3999939
1143.914429	14.08759975	3.896809578	2.056996822	-0.010572052	50.94940186	0.496073008	1.571960092	1.963478327	1.912908316	326.6487732	132.2006378
1144.066773	13.66640091	3.946890831	2.040003061	-0.016148992	49.08929825	0.488076419	1.522099972	1.936400056	2.172800064	331.1819458	133.5000458
1144.219238	13.63099957	3.953872681	2.025999308	-0.01848929	49.24029923	0.501389027	1.511687517	1.922799707	2.131467581	327.0075684	133.8999329
1144.371582	13.53800106	3.844612837	2.02300024	-0.015666334	45.12639999	0.505846441	1.496000052	1.922500014	1.841300011	329.1695862	133.7998657
1144.524048	13.41409969	3.778082609	2.026999712	-0.012813371	43.50289917	0.483025014	1.501794577	1.903501749	1.828608871	339.6660461	133.098587
1144.676392	13.41409969	3.722899914	2.026000023	-0.010809	41.95780182	0.526160002	1.495100021	1.905699968	2.089299917	336.912262	130.7999268
1144.828857	13.54020023	3.661072969	2.018000364	-0.014875913	43.40829849	0.494093001	1.474782825	1.85305965	1.804407358	318.7808533	130.4998016
1144.981201	14.00909996	3.589400053	2.019000053	-0.014643	42.46879959	0.517434001	1.453400016	1.802800059	1.813699961	308.6506958	130.2000885
1145.133667	13.96049023	3.848798752	2.04201889	-0.02476418	44.13359833	0.465667993	1.526124001	1.899489284	1.599085212	305.2535095	130.4817352
1145.286011	13.57310009	4.073090553	2.085006475	-0.034269679	43.85150147	0.421045989	1.805699945	2.260499954	1.580600023	303.7615967	105.9984741
1145.438355	13.35429955	3.936740875	2.174973011	-0.029709361	46.2405014	0.395011872	2.118599892	2.696500063	1.489599943	270.6373901	101.949997
1145.59082	13.38510037	3.731963396	2.150992632	-0.030815158	45.96989822	0.355087012	2.130645275	2.744410992	8.873662949	283.4169312	96.90388489
1145.743164	13.38969994	3.456564903	2.095013142	-0.039501954	47.00090027	0.395856351	2.062299967	2.633399963	1.713400006	285.3876953	105.7511749
1145.89563	13.45330143	3.408304215	2.025000334	-0.035737474	48.84090042	0.464726001	1.778010249	2.209428787	1.843507052	302.9400024	122.6550522
1146.047974	13.5048008	3.429796219	2.025999785	-0.027963344	49.09540176	0.50704509	1.416300058	1.746099949	1.977100015	315.5150452	132.6998291
1146.20044	13.51739979	3.611753941	2.024998188	-0.022740437	50.75559998	0.589128017	1.388708592	1.727221847	1.964140415	327.0605164	131.448761
1146.352783	13.56239986	3.819877148	2.018000603	-0.024430813	50.57389832	0.554510713	1.399399996	1.754500032	1.889799953	342.3985596	129.250473
1146.505249	13.54629993	3.834284306	2.018997908	-0.019138373	50.68650055	0.575091004	1.42730248	1.775329948	1.915304065	335.4808044	131.6994324
1146.657593	13.53800106	3.785200119	2.012000084	-0.017196	47.94940186	0.512591004	1.430500031	1.812600017	1.79550004	349.5794983	130.8021698
1146.810059	13.57931614	3.663383484	2.010994911	-0.012214464	48.25930023	0.528397977	1.442696691	1.796402335	1.686582685	341.7380676	139.1996918
1146.962402	13.60000038	3.620599985	1.998000026	-0.016021	46.36800003	0.545733988	1.438599944	1.799399972	1.664999962	342.2622986	138.748764
1147.114868	13.60000897	3.631143332	2.011001825	-0.013814062	47.31090164	0.570924997	1.436092973	1.79470408	1.9126122	341.2366638	134.9008942
1147.267212	13.61030102	3.728101492	2.015000105	-0.018422194	46.53929901	0.558708012	1.427299976	1.799800038	1.927800059	336.0004883	136.0995789
1147.419556	13.63099957	3.747394323	2.014000177	-0.020900277	45.88489914	0.512783766	1.410400033	1.764400005	1.874799967	338.9624939	135
1147.572022	13.63720036	3.620882988	2.006998539	-0.025179878	48.73289871	0.508955002	1.385294318	1.755078912	1.824708581	338.25354	139.7979126
1147.724365	13.63980007	3.501427174	1.997002244	-0.024306199	48.25699997	0.515116036	1.378100038	1.728800058	1.835399985	344.1011047	135.0999603
1147.876831	13.63309956	3.464109421	2.001000404	-0.025062928	53.06219864	0.534533978	1.362708807	1.684921622	1.869886637	343.3182983	134.6001587
1148.029175	13.63539982	3.510692358	2.002999783	-0.024709057	50.85499954	0.494738877	1.373700023	1.711899996	1.853199959	337.2365112	134.8999939
1148.181641	13.6619997	3.472611427	2.012999773	-0.025198789	54.68109894	0.481673986	1.389393568	1.719097972	1.854558468	341.4011536	134.8991394
1148.333984	13.6619997	3.515195608	2.012000084	-0.024408083	50.75740051	0.473833293	1.381299973	1.716599941	1.927399993	335.3639832	133.399765
1148.48645	13.71070004	3.517410994	2.010997295	-0.025976554	50.96849823	0.510793984	1.381104827	1.746703386	1.865959168	333.8174439	132.3000031
1148.638794	13.75500011	3.551000118	2.003000021	-0.024628	49.28689957	0.536496997	1.387099981	1.75090003	1.814900041	333.0765076	132.3007507
1148.79126	13.76830101	3.390625238	2.001998186	-0.021770461	52.41009903	0.525973022	1.38019824	1.753679276	1.655970573	337.4938965	135.1021729
1148.943604	13.76939964	3.454799891	1.996999979	-0.010198	50.14849854	0.533371985	1.378000021	1.727800012	1.743999958	336.7910767	138.2000732
1149.096069	13.91207695	3.588066578	1.997998714	-0.006053486	48.36019898	0.551989019	1.361601949	1.744794726	1.391047239	335.6812134	138.450943
1149.248413	13.88309956	3.7342906	1.995000839	-0.004924239	46.77320099	0.548105001	1.363995433	1.738261581	1.94888401	333.4441834	139.6993713
1149.400757	13.85900021	3.627330303	2.004997253	-0.007707212	46.88100052	0.525563061	1.358399987	1.690400004	2.05369997	341.1578369	138.1000061
1149.553223	13.92029953	3.497386456	2.013999701	-0.006404484	48.79750061	0.502345979	1.338905454	1.725908041	1.851155043	344.440979	133.8000946
1149.705566	13.8767004	3.406020165	2.01300025	-0.0163808	49.64960098	0.512037277	1.345700026	1.735900044	1.795099974	348.5029907	133.9998932
1149.858032	13.86859989	3.333306551	2.011001349	-0.021853989	51.59230042	0.510809004	1.361329198	1.766129136	1.825850368	326.1853027	132.7996368
1150.010376	13.75940037	3.363795281	2.017998695	-0.021799009	48.83819962	0.453604847	1.397799969	1.80250001	1.764000058	327.140564	132.0999298
1150.162842	13.5401001	3.477239132	2.020997763	-0.022085467	49.92559815	0.412234992	1.392399907	1.812985778	1.835857272	326.0939026	131.6003876
1150.315186	13.48709965	3.620186329	2.013000727	-0.027432494	49.05979919	0.398784787	1.39230001	1.795300007	1.782600045	327.16745	132.2498627
1150.467651	13.45119953	3.603697062	2.010998488	-0.026939778	48.44680023	0.438033015	1.417607307	1.839739084	1.702499151	324.3707886	131.5997162
1150.619995	13.39410019	3.595400095	2.00699997	-0.026277	46.9090004	0.471033007	1.426699996	1.888599992	1.826300025	323.8973694	131.1498718
1150.772461	13.38300037	3.537788391	2.005999327	-0.026829928	48.80559921	0.481016994	1.459312558	1.860289216	2.047525644	321.0306091	130.699997
1150.924805	13.38300037	3.508300066	2.003999949	-0.024152	51.33309937	0.529356003	1.475000024	1.971600056	2.079600096	320.7630615	130.699997
1151.077271	13.38300037	3.476897955	2.010001898	-0.022391289	50.94860077	0.517562985	1.486303449	1.976389051	1.962418437	313.3536377	130.6993103
1151.229614	13.38300037	3.472099543	2.014000654	-0.023016945	48.57339859	0.521107972	1.490605235	1.962697864	1.985589504	311.0012817	129.8002472
1151.381958	13.38300037	3.467201471	2.021997929	-0.022415167	46.08100128	0.496970356	1.497200012	1.960000038	2.097300053	311.4899902	130.3999939
1151.534424	13.38300037	3.382506371	2.027000904	-0.020063583	46.31829834	0.53351903	1.493721128	2.011980534	2.031018019	313.1026611	130.399765
1151.686768	13.38300037	3.42349124	2.0329988	-0.017399566	49.76929855	0.556488574	1.519999981	1.987599969	2.05369997	309.6402588	129.9000092
1151.839233	13.38080025	3.469338656	2.032999039	-0.019185096	50.41009903	0.530259013	1.514497995	2.034350872	2.040323496	309.1535339	130
1151.991577	13.37269974	3.645373583	2.029000759	-0.019630933	49.82820129	0.502660096	1.511999965	1.973199964	2.069900036	309.6218262	129.9999847
1152.144043	13.38300037	3.564996481	2.019995213	-0.019869769	47.70360184	0.46042499	1.507271051	1.958776593	2.016915083	309.8580017	129.9001465
1152.296387	13.39630032	3.551901102	2.003001452	-0.022595761	51.46960068	0.462893009	1.471099973	1.9296	1.786000013	315.6358032	130.1500549
1152.448853	13.34790039	3.411309719	1.994003415	-0.02529485	52.87110138	0.491299003	1.452984095	1.905695558	1.999138236	313.551239	130.400116
1152.601196	13.34539986	3.439899921	2.003999949	-0.021962998	56.49909973	0.519145012	1.433200002	1.900200009	1.922099948	315.673584	130.5999451
1152.753662	13.32928276	3.392066956	2.015000582	-0.021886878	54.32830048	0.505342007	1.421983719	1.890179277	1.944063425	313.716095	130.3990631
1152.906006	13.30780029	3.556200028	2.016000032	-0.021589	53.04639816	0.460622996	1.401600003	1.864300013	1.773599982	311.2332459	129.099762
